,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
10,UCRbP2fAbCBOMiaci7tz_sAA,UgwaO8JkXYU,Hyundai | Service | #RightCare,2018-02-09 06:27:07,"As one of the most loved brands in India, Hyundai values the trust it has earned from its customers. It is to preserve this trust that #Hyundai Service goes beyond the promised convenience and expert assistance. It leaves no stone unturned to make every customer feel special in every possible way thus delivering our promise of 'Right Here Right Care' .  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",11943934,7631,2627,0,400
11,UCY30JRSgfhYXA6i6xX1erWg,hHdHZqTzbyE,ADULT MAGIC SCHOOL BUS,2016-02-26 20:00:02,"BLOOPERS & MORE! ►► http://smo.sh/1QinhIG EVERY OSCARS EVER! ►► http://smo.sh/1Q0WWNM SUBSCRIBE for more Smosh ►► http://smo.sh/SmoshSub  We all know Ms. Frizzle and the Magic School Bus - but what happens when they go on a new adventure as adults?!   Cast: Anthony Padilla Ian Hecox Courtney Miller Olivia Sui Keith Leak Shayne Topp Noah Grossman   Director: Ryan Todd Assistant Director: Sean McCullough Written by: Anthony Padilla, Ian Hecox, Ryan Finnerty Produced by: Anthony Padilla, Ian Hecox, Ryan Todd  Creative Director: Joe Bereta Coordinating Producer: Mayra Diaz Director of Photography: John Jimenez Camera: Brennan Iketani Assistant Camera: Nick Lann Sound: Ivan Harder Grips: Pattrick Egan & Lee Eisenhower Pre Production Designer: Odin Abbott On Set Production Designer: Lindsey Liberman Makeup: Paula Barkley Wardrobe: Felicia Cowley & Feleicia Martin Edited by: Michael Barryte Assistant Editor: Katie Reed Post Supervision by: Ryan Finnerty DIT/Media Mgmt: Gabe Laguer BTS: Phil Mohr Color: Mike Burton PA: Brandie Rovito & Beau Miller   ------------------------------------ Hey it's our very own website: http://smosh.com Oh and our Facebook page: http://facebook.com/smosh Want to know when we're filming and/or pooping? Now you can: http://twitter.com/smosh Guess we should have a Google+ Page, too: http://google.com/+smosh Play with us on Smosh Games! http://smo.sh/SmoshGamesYT Watch our Cartoons! http://smo.sh/ShutUpCartoonsYT SMOSH EN FRANÇAIS: http://youtube.com/TheFrenchSmosh",11925439,186922,5062,0,15809
12,UC5f97D60yHa7UE9rFfbej8g,60KXa7HN6TY,[Hyundai N] High Performance N Launching,2017-10-26 09:42:03,"“i30N, The first High Performance Line-up from Hyundai. Feel the Feeling.”",7574762,322,37,0,49
13,UCFg3rtPVsLpWsaO7kTURikw,t4GDluTGgn0,Hyundai : Going Home,2015-11-21 16:32:34,"“Mother, your son Gu-Hyeon is home”   HYUNDAI MOTOR GROUP Going Home   2015, 65-year Division of Korea Here is an old man who has been longing for home in North Korea. For Kim Gu-Hyeon and other displaced persons pining for home beyond barbed wire fence, Hyundai Motor started “Going Home” Project.  Using a combination of automotive design technology and Vworld (Spatial Information Open Platform), Mr.Kim’s hometown was virtually recreated including wild flowers and streets where he used to walk every day.  On the day the two Koreas reunite as one nation, Mr. Kim’s journey back home will be accompanied by Hyundai Motor Group.",6252905,1011,72,0,88
14,UCRbP2fAbCBOMiaci7tz_sAA,MkC6kRoD4xk,Hyundai | Next Gen Sedan | Arriving Soon | Teaser,2017-07-14 03:27:39,Gear up for thrilling experience. Get a sneak peak of the #NextGenSedan. Arriving Soon. Bookings Open Shortly. Stay tuned for more updates by clicking on http://bit.ly/NextGenSedan  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin,5597847,198,56,0,25
15,UCs_gcVRMHEx5mVXfQ7icQTg,2S4Khbv6iSw,2018 Hyundai Azera - interior Exterior and Drive,2017-06-26 13:45:36,"""The 2018 Hyundai Azera looks pretty classy   With the reveal of the new Azera, Hyundai has made it clear that it has no plans to leave the large, upscale sedan market. This South Korean Avalon-fighter underwent a significant redesign inside and out and will first go on sale in Korea next month.  Outside, the Azera has a significantly different and more formal, profile. While the previous model was rakish and wedgy, the new model adopts an upright version of Hyundai's new corporate grille, along with a long hood and more vertical windshield. The flanks also receive long, flowing character lines that give it a muscular appearance. At the back, the Azera gets a new version of the full width taillights that the model has had since the nameplate's introduction two generations ago.  The Azera also changes radically inside. Instead of the downward flowing dash of the old model, the new interior features an instrument panel that emphasizes width, with a dark top portion and lighter lower section. Sandwiched between the two halves of the dash is a section that rises up at the center stack to house the large touch screen and an analog clock, which looks a bit out of place.  Hyundai has yet to reveal any stats, pricing or availability for the new Azera, except for its aforementioned launch date in South Korea, where it will carry the Grandeur name. However, we would imagine more details will be coming soon ahead of its US launch. Read more http://www.autoblog.com/2016/10/27/2018-hyundai-azera-redesign-style/  """"2017 Test Drive Review""""  """"SUBSCRIBE NOW""""""",5398894,32824,2358,0,1492
16,UCnBYf03jmMPiABvbSYbxMcA,zQrj3V8sj2Y,Hyundai | Inscreva-se no canal,2017-11-17 22:07:13,Quer assistir aos vídeos completos? Descubra tudo sobre o universo Hyundai inscrevendo-se no nosso canal. Feito para quem gosta de carros e muita informação.,5316280,10368,6792,0,144
17,UCRbP2fAbCBOMiaci7tz_sAA,kRemMkQ08ZM,Hyundai | Brilliant Moments | Atut Rishta – Inseparable Bond | Jasmeet Singh,2018-09-17 11:59:41,"It’s hard to let go of something you have grown up with, specially if it has meant a lifetime of happiness for the entire family.  See how a family relives the unforgettable moments of a long journey.  Visit www.brilliantmoments.in to watch and vote for your favourite Brilliant Moment and win exciting prizes! 1000 Lucky winners will win Rs. 250.00 vouchers.  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",4769920,9723,641,0,391
18,UCRbP2fAbCBOMiaci7tz_sAA,fNJiBlc-JYA,Hyundai | Life is Brilliant | Television Commercial (TVC),2014-11-22 06:51:33,"Hyundai Motor India Ltd (HMIL) has launched its first-ever corporate campaign focusing on India called, ‘Life is Brilliant’. The corporate campaign has been designed to further strengthen Hyundai’s caring and emotional connect with the Indian consumer. This video shows how a father will go to all lengths to make sure that his child is reunited with his mother who is in another part of town.",4664709,1876,637,0,63
19,UCPi-UE9Zgpp37dPsb1LaI4w,Xbjdmw8D9-Y,Hyundai - The Empty Car Convoy,2014-07-01 13:29:46,"Hyundai wanted to demonstrate its driver assist features like its Smart Cruise Control, Lane Keeping Assist and Auto Emergency Braking.  So it put together a convoy of empty cars...",1259890,6605,273,0,333
