,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
10,UCjOl2AUblVmg2rA_cRgZkFg,6eoUutOsZoQ,Renault Espace Convertible Challenge - Top Gear - BBC,2009-01-10 02:14:37,"May, Hammond and Clarkson attempt to build a Renault Espace Convertible capable of driving at high speed, through safari parks, and - most challenging of all - a carwash. Expect fires and destruction throughout!   Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear  Top Gear YouTube channel: http://www.youtube.com/topgear TopGear.com website: http://www.topgear.com  Top Gear Facebook: http://www.facebook.com/topgear Top Gear Twitter: http://twitter.com/BBC_topgear  This is a channel from BBC Worldwide who help fund new BBC programmes.",6338214,33803,712,0,2887
11,UCjOl2AUblVmg2rA_cRgZkFg,Fzb6z6f0cbY,Peugeot 208 GTi vs Renault Clio 200 Vs Ford Fiesta ST | Top Gear | Series 20 | BBC,2014-02-09 21:00:01,"It's the Battle of the GTi's as Richard test drives the Peugeot 208 GTi, Renault Sport Clio 200, and Ford Fiesta ST. Who will be the king of the Hot Hatch?  Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear  Top Gear YouTube channel: http://www.youtube.com/topgear TopGear.com website: http://www.topgear.com  Top Gear Facebook: http://www.facebook.com/topgear Top Gear Twitter: http://twitter.com/BBC_topgear  This is a channel from BBC Studios, who help fund new BBC programmes.",5604142,19173,1161,0,1724
12,UCf6hZXDiZ2rpnio4woya8ug,R6dAZkwgkeA,"Renault Twizy, a funny, but useful electric car.",2012-04-03 23:19:48,"A quick introduction to the Twizy, a electric car by Renault. It looks funny, but it is a nice design in easiness in use and driving.  Top speed 85 km/h  Range 80 km (if riding properly)  VERY tight turns               (me happy)  VERY small to park           (me happy)",1670283,4076,290,0,661
13,UCXoBDsK4B75au2YTC1aLVpg,8HfJcuIG47o,AdBuster - Renault Megane Destroy!,2013-06-24 16:44:48,"FAQ:   1. Dlaczego nie oddałeś go potrzebującej rodzinie, bydlaku?!  - bo samochód nie nadawał się do dalszego użytkowania. Wszystko było przerdzewiałe na wylot, a usterki nie do naprawienia. Lewarek wbijał się w podłogę.  2. Jakich uszkodzeń doznał samochód podczas distroju?  - niewielkich. Poszły 3 szyby, lusterko i wewnętrzna lampka. Prawy tylny klosz pękł przy uderzeniu w ścianę (stłuczka parkingowa). Poza tym parę wgniotów i urwana osłona silnika.  3. Czemu tak słabo go zdemolowałeś? Ja bym zrobił to tak: bla bla...  - bo jeszcze trzeba było dojechać nim przez miasto na skup złomu. Mógłbym na lawecie, ale KOSZTA  4. Co to za muzyczka w tle?   - autorstwa Kevina McLeod'a, pod licencją Creative Commons  5. Co to za chujowy filmik, miałeś robić konfrontacje! @#$%^  - bo od czasu do czasu lubię coś rozwalić i wrzucić to na YT.  6. Dodaj mnie do znajomych, plox.  - najpierw musimy wypić razem browara.   Tymczasem możesz zalajkowacz mnie na moim fanpejdżu: http://www.facebook.com/adbuster  Pozdro!",5204244,69544,3778,0,8432
14,UCXmf6Vpfns0RQxoXt8TAfmw,NHD4XghZteM,Renault y Thule unieron tus pasiones en un solo lugar.,2018-03-21 15:14:36,"Para que tu Renault te acompañe siempre a vivir tus pasiones hemos creado la línea de Accesorios Thule, que podrás encontrar en nuestros concesionarios autorizados Renault a nivel nacional. Elige el tuyo y no pares de soñar. Conoce más información aquí: https://bit.ly/2J6BiN6",4639103,19,9,0,0
15,UCvYI7HB4z9WjJ-s5zA6WaGg,htHPpNd6H0U,Renault KWID  – India’s New Favourite Car,2016-07-01 11:33:58,"Zipping around city traffic or roaring down the highway, #RenaultKWID is the ideal car for you.",4621672,2611,1637,0,255
16,UCvYI7HB4z9WjJ-s5zA6WaGg,eiUQaXl7JFU,Renault KWID 1.0L - Bookings Open,2016-08-22 13:21:02,Bookings are now open for the @RenaultIndia #KWID1Litre. Get ready to #LiveForMore! Know more: http://bit.ly/2baUjw7.,4176713,1870,1290,0,195
17,UCkpH6X96XjzWTEQFht2WNZQ,bzvlodkCAxg,"Renault LIMITED | protagonizado por Jonathan Kanda, Coreógrafo | Renault España",2018-11-07 09:36:34,"Renault LIMITED está inspirado en personas que diseñan nuevos límites para su vida. Jonathan Kanda es uno de ellos. Jonathan es un joven bailarín belga que no dejó que su físico le impidiera alcanzar su sueño. Porque se atrevió a diseñar nuevos límites, ahora vive la vida que siempre ha soñado como coreógrafo.  En este nuevo vídeo se muestran habilidades de personas desconocidas para ir más allá de sus propios límites, como lo hace Renault. En Renault se encuentran conceptos de ingeniería innovadores que crean un diseño sensual, cálido, llamativo, emotivo y funcional. Todo lo que hacemos lo enfocamos a comprender y cubrir tus necesidades. Esperamos que encuentres algo aquí para inspirarte.  Otros talentos también han roto los estereotipos y los límites. No te pierdas sus historias en: http://www.diseñanuevoslimites.es  Síguenos en nuestras redes sociales: https://www.facebook.com/renaultespan... https://www.instagram.com/renault_esp/",3810960,1800,2378,0,242
18,UCjpe-FourUgOLzzPu9qV4qg,bjjd6LZ79oU,Renault Captur – Le crossover urbain aux multiples facettes I Renault,2013-03-05 14:11:21,Pour suivre le Groupe Renault :  Snapchat : https://www.snapchat.com/add/renaultlive Facebook : https://www.facebook.com/renault Twitter : https://twitter.com/groupe_renault Instagram : https://instagram.com/renault_live/ Site officiel : http://group.renault.com/ LinkedIn : Groupe Renault,3722982,152,54,0,15
19,UC_uafyVPlGsxmZeRA2PCsXw,Kod4ca0yKh0,Renault Duster 4x4 off-road Heavily Stuck in Mud Very Hard Climb,2015-10-01 21:03:30,"* Renault Duster 4x4 off-road Heavily Stuck in Mud Hard Climb Renault,Duster,4x4,off road,stuck,climb,Renault Duster,Duster stuck,Duster 4x4,Duster off road,Duster climb,Renault Duster off road,Renault off road,Renault Duster 4x4,Renault Duster stuck,test drive,heavily,off road 4x4,Dacia Duster,Very,drive,trial,wheeling driving,mud,road,mudding,extreme,adventure,4wd,crossing,water bog,action,car,truck,video,2015,2016,youtube,off road vehicle,off roading,vehicle,offroad,test,review,fails,fun,jeep,SUV,race,trophy rally,off road fail,epic,full,all,terrain,AWD,ATV,quad,tuning crash,accident * Subscribe! Подпишись! - http://www.youtube.com/channel/UC_uafyVPlGsxmZeRA2PCsXw * This Video - https://youtu.be/Kod4ca0yKh0  Interesting links, best goods at low prices !!!  Auto Replacement Parts  Glasses & Windows  http://ali.pub/i6who Auto Replacement Parts  Suspension & Steering  http://ali.pub/8z041 Auto Replacement Parts  Air Intake System  http://ali.pub/r5mnx Car Lights  Interior Lights  http://ali.pub/ut5qd Maintenance & Care  Car Washer  http://ali.pub/cfsxe Electrical Testers & Test Leads  http://ali.pub/x8njr Interior Accessories  Floor Mats  http://ali.pub/mrn9j Key Case for Car  http://ali.pub/vuryh Electric...  Converters & Inverters  http://ali.pub/baq82 Motorcycle Accessories  Protective Gear  http://ali.pub/agtx1 Interior Accessories  http://ali.pub/1roxf Diagnostic Tools  http://ali.pub/t92yq Steering Covers  http://ali.pub/0vmoy Car Lights  http://ali.pub/mic8r Code Readers & Scan Tools  http://ali.pub/ys834 Boat Parts & Accessories  http://ali.pub/5eimu Fuel Supply System  http://ali.pub/5yi8z Exterior Parts  http://ali.pub/t98iv Interior Parts  http://ali.pub/8pmu5 Charging & Starting Systems - http://ali.pub/wi5fj",3674796,5338,2627,0,504
